Hour,passenger_count
05:00,23
06:00,9315
07:00,83107
08:00,197550
09:00,260477
10:00,251260
11:00,234680
12:00,232993
13:00,238885
14:00,234203
15:00,231290
16:00,248410
17:00,267146
18:00,265136
19:00,160632
20:00,52729
21:00,5787
22:00,151
23:00,252
