trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004005,10.31.00,14,10.31.00,0,15
1004005,10.35.00,15,10.35.00,0,14
1004005,10.37.00,16,10.37.00,0,13
1004005,10.38.00,17,10.38.00,0,12
1004005,10.40.00,18,10.40.00,0,11
1004005,10.42.00,19,10.42.00,0,10
1004005,10.45.00,20,10.45.00,0,9
1004005,10.49.00,21,10.49.00,0,8
1004005,10.53.00,22,10.53.00,0,7
1004005,10.55.00,23,10.55.00,0,6
1004005,10.59.00,24,10.59.00,0,5
1004005,11.03.00,25,11.03.00,0,4
1004005,11.05.00,26,11.05.00,0,3
1004005,11.07.00,27,11.07.00,0,2
1004005,11.14.00,28,11.14.00,0,1
1004006,11.20.00,1,11.20.00,0,1
1004006,11.27.00,2,11.27.00,0,2
1004006,11.29.00,3,11.29.00,0,3
1004006,11.31.00,4,11.31.00,0,4
1004006,11.35.00,5,11.35.00,0,5
1004006,11.39.00,6,11.39.00,0,6
1004006,11.41.00,7,11.41.00,0,7
1004006,11.45.00,8,11.45.00,0,8
1004006,11.49.00,9,11.49.00,0,9
1004006,11.52.00,10,11.52.00,0,10
1004006,11.54.00,11,11.54.00,0,11
1004006,11.56.00,12,11.56.00,0,12
1004006,11.57.00,13,11.57.00,0,13
1004006,11.59.00,14,11.59.00,0,14
1004006,12.03.00,15,12.03.00,0,15
1004006,12.05.00,16,12.05.00,0,16
1004006,12.07.00,17,12.07.00,0,17
1004006,12.08.00,18,12.08.00,0,18
1004006,12.09.00,19,12.09.00,0,19
1004006,12.11.00,20,12.11.00,0,20
1004006,12.13.00,21,12.13.00,0,21
1004006,12.15.00,22,12.15.00,0,22
1004006,12.19.00,23,12.19.00,0,23
1004006,12.22.00,24,12.22.00,0,24
1004006,12.25.00,25,12.25.00,0,25
1004006,12.27.00,26,12.27.00,0,26
1004006,12.31.00,27,12.31.00,0,27
1004006,12.34.00,28,12.34.00,0,28
1004007,12.40.00,1,12.40.00,0,28
1004007,12.43.00,2,12.43.00,0,27
1004007,12.47.00,3,12.47.00,0,26
1004007,12.49.00,4,12.49.00,0,25
1004007,12.52.00,5,12.52.00,0,24
1004007,12.55.00,6,12.55.00,0,23
1004007,12.59.00,7,12.59.00,0,22
1004007,13.01.00,8,13.01.00,0,21
1004007,13.03.00,9,13.03.00,0,20
1004007,13.05.00,10,13.05.00,0,19
1004007,13.06.00,11,13.06.00,0,18
1004007,13.07.00,12,13.07.00,0,17
1004007,13.09.00,13,13.09.00,0,16
1004007,13.11.00,14,13.11.00,0,15
1004007,13.15.00,15,13.15.00,0,14
1004007,13.17.00,16,13.17.00,0,13
1004007,13.18.00,17,13.18.00,0,12
1004007,13.20.00,18,13.20.00,0,11
1004007,13.22.00,19,13.22.00,0,10
1004007,13.25.00,20,13.25.00,0,9
1004007,13.29.00,21,13.29.00,0,8
1004007,13.33.00,22,13.33.00,0,7
1004007,13.35.00,23,13.35.00,0,6
1004007,13.39.00,24,13.39.00,0,5
1004007,13.43.00,25,13.43.00,0,4
1004007,13.45.00,26,13.45.00,0,3
1004007,13.47.00,27,13.47.00,0,2
1004007,13.54.00,28,13.54.00,0,1
1004008,14.00.00,1,14.00.00,0,1
1004008,14.07.00,2,14.07.00,0,2
1004008,14.09.00,3,14.09.00,0,3
1004008,14.11.00,4,14.11.00,0,4
1004008,14.15.00,5,14.15.00,0,5
1004008,14.19.00,6,14.19.00,0,6
1004008,14.21.00,7,14.21.00,0,7
1004008,14.25.00,8,14.25.00,0,8
1004008,14.29.00,9,14.29.00,0,9
1004008,14.32.00,10,14.32.00,0,10
1004008,14.34.00,11,14.34.00,0,11
1004008,14.36.00,12,14.36.00,0,12
1004008,14.37.00,13,14.37.00,0,13
1004008,14.39.00,14,14.39.00,0,14
1004008,14.43.00,15,14.43.00,0,15
1004008,14.45.00,16,14.45.00,0,16
1004008,14.47.00,17,14.47.00,0,17
1004008,14.48.00,18,14.48.00,0,18
1004008,14.49.00,19,14.49.00,0,19
1004008,14.51.00,20,14.51.00,0,20
1004008,14.53.00,21,14.53.00,0,21
1004008,14.55.00,22,14.55.00,0,22
1004008,14.59.00,23,14.59.00,0,23
1004008,15.02.00,24,15.02.00,0,24
1004008,15.05.00,25,15.05.00,0,25
1004008,15.07.00,26,15.07.00,0,26
1004008,15.11.00,27,15.11.00,0,27
1004008,15.14.00,28,15.14.00,0,28
1004009,15.20.00,1,15.20.00,0,28
1004009,15.23.00,2,15.23.00,0,27
1004009,15.27.00,3,15.27.00,0,26
1004009,15.29.00,4,15.29.00,0,25
1004009,15.32.00,5,15.32.00,0,24
1004009,15.35.00,6,15.35.00,0,23
1004009,15.39.00,7,15.39.00,0,22
1004009,15.41.00,8,15.41.00,0,21
1004009,15.43.00,9,15.43.00,0,20
1004009,15.45.00,10,15.45.00,0,19
1004009,15.46.00,11,15.46.00,0,18
1004009,15.47.00,12,15.47.00,0,17
